deal_id,target_demo,I_d,J_d,CPM_d,impressions,completion,shortfall
D541,M25-54,44,7,1.57,17.27,0.3925,26.73
D643,P25-54,85,14,1.6,32.84,0.3863529411764706,52.16
D843,P25-54,85,12,1.6,32.84,0.3863529411764706,52.16
D203,P25-54,86,11,1.59,32.84,0.38186046511627914,53.16
D779,P25-54,86,13,1.59,32.84,0.38186046511627914,53.16
D107,P25-54,87,10,1.6,32.84,0.37747126436781614,54.16
D685,M25-54,47,7,1.57,17.27,0.36744680851063827,29.73
D179,P25-54,73,11,1.58,26.18,0.35863013698630136,46.82
D539,P25-54,74,11,1.58,26.18,0.3537837837837838,47.82
D243,P25-54,74,12,1.6,26.18,0.3537837837837838,47.82
D315,P25-54,76,14,1.59,26.18,0.3444736842105263,49.82
D147,P25-54,76,11,1.6,26.18,0.3444736842105263,49.82
D915,P25-54,77,12,1.58,26.18,0.33999999999999997,50.82
D139,P25-54,80,13,1.59,26.18,0.32725,53.82
D699,P25-54,81,12,1.59,26.18,0.3232098765432099,54.82
D395,P25-54,87,12,1.59,26.18,0.30091954022988504,60.82
D411,P25-54,88,11,1.59,26.18,0.2975,61.82
D461,M25-54,44,5,1.56,11.05,0.25113636363636366,32.95
D765,M25-54,45,5,1.57,11.05,0.24555555555555558,33.95
D629,M25-54,45,6,1.57,11.05,0.24555555555555558,33.95
D389,M25-54,46,6,1.57,11.05,0.24021739130434785,34.95
D741,M25-54,46,7,1.56,11.05,0.24021739130434785,34.95
D061,M25-54,46,7,1.57,11.05,0.24021739130434785,34.95
D211,P25-54,72,12,1.58,17.27,0.2398611111111111,54.730000000000004
D437,M25-54,47,5,1.57,11.05,0.2351063829787234,35.95
D379,P25-54,74,10,1.58,17.27,0.23337837837837838,56.730000000000004
D019,P25-54,75,12,1.58,17.27,0.23026666666666665,57.730000000000004
D187,P25-54,76,10,1.58,17.27,0.22723684210526315,58.730000000000004
D067,P25-54,83,10,1.58,17.27,0.2080722891566265,65.73
D835,P25-54,83,10,1.57,17.27,0.2080722891566265,65.73
D923,P25-54,84,12,1.58,17.27,0.20559523809523808,66.73
D669,M25-54,41,6,1.57,7.69,0.1875609756097561,33.31
D445,M25-54,42,7,1.56,7.69,0.18309523809523812,34.31
D917,M25-54,45,5,1.56,7.69,0.1708888888888889,37.31
D189,M25-54,47,6,1.56,7.69,0.16361702127659575,39.31
D853,M25-54,49,6,1.56,7.69,0.15693877551020408,41.31
D213,M25-54,41,6,1.54,6.21,0.15146341463414634,34.79
D813,M25-54,43,6,1.55,6.37,0.14813953488372092,36.63
D381,M25-54,42,6,1.54,6.22,0.14809523809523809,35.78
D493,M25-54,43,7,1.53,6.22,0.14465116279069767,36.78
D829,M25-54,43,7,1.55,6.22,0.14465116279069767,36.78
D317,M25-54,43,6,1.54,6.21,0.1444186046511628,36.79
D235,P25-54,77,11,1.58,11.05,0.14350649350649353,65.95
D349,M25-54,45,7,1.55,6.37,0.14155555555555555,38.63
D693,M25-54,45,6,1.54,6.37,0.14155555555555555,38.63
D805,M25-54,44,7,1.54,6.22,0.14136363636363636,37.78
D597,M25-54,44,6,1.54,6.21,0.14113636363636364,37.79
D877,M25-54,44,5,1.54,6.21,0.14113636363636364,37.79
D957,M25-54,41,7,1.5,5.7,0.13902439024390245,35.3
D125,M25-54,45,5,1.54,6.22,0.13822222222222222,38.78
D683,P25-54,80,12,1.57,11.05,0.138125,68.95
D069,M25-54,45,6,1.54,6.21,0.138,38.79
D677,M25-54,45,6,1.55,6.21,0.138,38.79
D515,P25-54,81,12,1.56,11.05,0.13641975308641976,69.95
D933,M25-54,42,5,1.5,5.7,0.13571428571428573,36.3
D261,M25-54,42,5,1.51,5.7,0.13571428571428573,36.3
D309,M25-54,47,5,1.53,6.37,0.13553191489361702,40.63
D269,M25-54,47,6,1.54,6.37,0.13553191489361702,40.63
D893,M25-54,46,5,1.55,6.22,0.13521739130434782,39.78
D789,M25-54,41,6,1.52,5.52,0.1346341463414634,35.480000000000004
D477,M25-54,41,7,1.49,5.52,0.1346341463414634,35.480000000000004
D405,M25-54,41,7,1.47,5.52,0.1346341463414634,35.480000000000004
D547,P25-54,83,10,1.57,11.05,0.13313253012048193,71.95
D229,M25-54,43,7,1.53,5.7,0.1325581395348837,37.3
D773,M25-54,43,6,1.52,5.7,0.1325581395348837,37.3
D861,M25-54,47,5,1.55,6.22,0.13234042553191488,40.78
D413,M25-54,41,6,1.51,5.36,0.13073170731707318,35.64
D533,M25-54,44,7,1.53,5.72,0.13,38.28
D717,M25-54,43,6,1.5,5.52,0.1283720930232558,37.480000000000004
D253,M25-54,43,7,1.46,5.52,0.1283720930232558,37.480000000000004
D525,M25-54,42,5,1.49,5.36,0.12761904761904763,36.64
D275,P25-54,87,12,1.56,11.05,0.12701149425287356,75.95
D781,M25-54,49,7,1.54,6.22,0.12693877551020408,42.78
D277,M25-54,49,5,1.55,6.21,0.126734693877551,42.79
D869,M25-54,43,6,1.51,5.36,0.12465116279069768,37.64
D133,M25-54,43,5,1.5,5.36,0.12465116279069768,37.64
D077,M25-54,46,5,1.53,5.72,0.12434782608695652,40.28
D5,M25-54,45,6,1.5,5.52,0.12266666666666666,39.480000000000004
D293,M25-54,45,6,1.47,5.52,0.12266666666666666,39.480000000000004
D909,M25-54,44,6,1.51,5.36,0.12181818181818183,38.64
D733,M25-54,44,6,1.5,5.36,0.12181818181818183,38.64
D605,M25-54,47,6,1.51,5.72,0.12170212765957446,41.28
D589,M25-54,47,6,1.53,5.72,0.12170212765957446,41.28
D021,M25-54,47,6,1.51,5.7,0.12127659574468086,41.3
D085,M25-54,47,7,1.52,5.7,0.12127659574468086,41.3
D045,M25-54,41,6,1.49,4.91,0.11975609756097562,36.09
D653,M25-54,41,5,1.47,4.91,0.11975609756097562,36.09
D517,M25-54,48,7,1.54,5.72,0.11916666666666666,42.28
D173,M25-54,48,5,1.52,5.7,0.11875000000000001,42.3
D037,M25-54,48,6,1.49,5.7,0.11875000000000001,42.3
D565,M25-54,47,7,1.49,5.52,0.1174468085106383,41.480000000000004
D757,M25-54,47,5,1.51,5.52,0.1174468085106383,41.480000000000004
D221,M25-54,42,5,1.48,4.91,0.11690476190476191,37.09
D357,M25-54,42,6,1.48,4.91,0.11690476190476191,37.09
D949,M25-54,46,6,1.52,5.36,0.11652173913043479,40.64
D965,M25-54,49,7,1.52,5.7,0.1163265306122449,43.3
D821,M25-54,42,5,1.48,4.84,0.11523809523809524,37.16
D341,M25-54,48,6,1.52,5.52,0.11499999999999999,42.480000000000004
D197,M25-54,41,6,1.48,4.64,0.11317073170731706,36.36
D885,M25-54,41,6,1.49,4.64,0.11317073170731706,36.36
D509,M25-54,41,7,1.46,4.56,0.11121951219512194,36.44
D469,M25-54,44,6,1.48,4.84,0.11,39.16
D621,M25-54,49,7,1.5,5.36,0.10938775510204082,43.64
D989,M25-54,45,7,1.49,4.91,0.10911111111111112,40.09
D141,M25-54,45,5,1.49,4.91,0.10911111111111112,40.09
D549,M25-54,45,5,1.47,4.84,0.10755555555555556,40.16
D645,M25-54,45,5,1.46,4.84,0.10755555555555556,40.16
D301,M25-54,46,7,1.49,4.91,0.10673913043478261,41.09
D573,M25-54,43,6,1.49,4.56,0.10604651162790697,38.44
D245,M25-54,44,5,1.47,4.64,0.10545454545454545,39.36
D661,M25-54,42,6,1.47,4.4,0.10476190476190476,37.6
D205,M25-54,47,7,1.49,4.91,0.10446808510638299,42.09
D013,M25-54,44,5,1.47,4.56,0.10363636363636362,39.44
D637,M25-54,44,5,1.47,4.56,0.10363636363636362,39.44
D429,M25-54,45,5,1.47,4.64,0.1031111111111111,40.36
D421,M25-54,45,5,1.46,4.64,0.1031111111111111,40.36
D797,M25-54,48,6,1.47,4.91,0.10229166666666667,43.09
D655,P25-54,45,8,1.46,4.56,0.10133333333333333,40.44
D183,P25-54,45,10,1.47,4.56,0.10133333333333333,40.44
D997,M25-54,45,5,1.48,4.56,0.10133333333333333,40.44
D323,P25-54,76,12,1.56,7.69,0.1011842105263158,68.31
D453,M25-54,46,5,1.48,4.64,0.1008695652173913,41.36
D373,M25-54,48,6,1.48,4.84,0.10083333333333333,43.16
D557,M25-54,49,5,1.48,4.91,0.10020408163265307,44.09
D237,M25-54,49,7,1.46,4.91,0.10020408163265307,44.09
D973,M25-54,49,5,1.51,4.91,0.10020408163265307,44.09
D613,M25-54,44,6,1.47,4.4,0.1,39.6
D725,M25-54,46,6,1.48,4.56,0.09913043478260869,41.44
D325,M25-54,46,6,1.46,4.56,0.09913043478260869,41.44
D845,M25-54,49,6,1.48,4.84,0.09877551020408162,44.16
D285,M25-54,49,6,1.47,4.84,0.09877551020408162,44.16
D053,M25-54,49,5,1.49,4.84,0.09877551020408162,44.16
D181,M25-54,49,7,1.48,4.84,0.09877551020408162,44.16
D171,P25-54,78,12,1.56,7.69,0.0985897435897436,70.31
D749,M25-54,45,7,1.46,4.4,0.09777777777777778,40.6
D333,M25-54,47,5,1.46,4.56,0.09702127659574468,42.44
D941,M25-54,46,7,1.45,4.4,0.09565217391304348,41.6
D925,M25-54,48,5,1.46,4.56,0.09499999999999999,43.44
D095,P25-54,51,7,1.47,4.84,0.09490196078431372,46.16
D071,P25-54,49,7,1.46,4.64,0.0946938775510204,44.36
D375,P25-54,50,8,1.47,4.64,0.0928,45.36
D103,P25-54,50,7,1.46,4.64,0.0928,45.36
D459,P25-54,83,11,1.56,7.69,0.09265060240963856,75.31
D979,P25-54,83,10,1.56,7.69,0.09265060240963856,75.31
D991,P25-54,48,7,1.46,4.4,0.09166666666666667,43.6
D963,P25-54,84,10,1.56,7.69,0.09154761904761906,76.31
D175,P25-54,51,7,1.47,4.64,0.09098039215686274,46.36
D143,P25-54,49,8,1.47,4.4,0.08979591836734695,44.6
D903,P25-54,52,9,1.46,4.64,0.08923076923076922,47.36
D451,P25-54,72,10,1.55,6.37,0.08847222222222223,65.63
D587,P25-54,87,10,1.56,7.69,0.08839080459770116,79.31
D687,P25-54,52,7,1.46,4.4,0.08461538461538462,47.6
D887,P25-54,54,8,1.47,4.56,0.08444444444444443,49.44
D671,P25-54,55,9,1.47,4.64,0.08436363636363636,50.36
D755,P25-54,74,11,1.53,6.21,0.08391891891891892,67.79
D155,P25-54,76,11,1.55,6.37,0.08381578947368422,69.63
D475,P25-54,75,10,1.53,6.22,0.08293333333333333,68.78
D871,P25-54,55,8,1.46,4.56,0.0829090909090909,50.44
D099,P25-54,77,10,1.56,6.22,0.08077922077922077,70.78
D035,P25-54,77,11,1.55,6.21,0.08064935064935065,70.79
D595,P25-54,77,12,1.55,6.21,0.08064935064935065,70.79
D739,P25-54,79,13,1.56,6.37,0.08063291139240507,72.63
D031,P25-54,55,9,1.45,4.4,0.08,50.6
D827,P25-54,80,12,1.54,6.37,0.079625,73.63
D115,P25-54,80,14,1.56,6.37,0.079625,73.63
D795,P25-54,79,14,1.55,6.21,0.07860759493670887,72.79
D011,P25-54,80,10,1.56,6.21,0.077625,73.79
D123,P25-54,83,13,1.54,6.37,0.07674698795180723,76.63
D259,P25-54,73,12,1.53,5.52,0.07561643835616438,67.48
D427,P25-54,78,13,1.53,5.7,0.07307692307692308,72.3
D291,P25-54,76,10,1.52,5.52,0.07263157894736842,70.48
D027,P25-54,79,10,1.53,5.72,0.07240506329113924,73.28
D419,P25-54,87,13,1.54,6.22,0.07149425287356322,80.78
D627,P25-54,82,13,1.53,5.72,0.0697560975609756,76.28
D387,P25-54,84,11,1.53,5.72,0.0680952380952381,78.28
D523,P25-54,84,14,1.53,5.7,0.06785714285714287,78.3
D483,P25-54,86,13,1.54,5.72,0.06651162790697675,80.28
D715,P25-54,81,14,1.52,5.36,0.06617283950617284,75.64
D731,P25-54,87,10,1.54,5.72,0.0657471264367816,81.28
D819,P25-54,86,11,1.52,5.36,0.06232558139534884,80.64
D697,F18-34,55,12,1.29,0.0,0.0,55.0
D593,F18-34,55,9,1.24,0.0,0.0,55.0
D592,M25-54,32,4,1.31,0.0,0.0,32.0
D696,M25-54,34,4,1.25,0.0,0.0,34.0
D983,P25-54,51,8,1.35,0.0,0.0,51.0
D654,F18-34,31,6,1.0,0.0,0.0,31.0
D698,M25-54,55,9,1.07,0.0,0.0,55.0
D591,P25-54,51,7,1.39,0.0,0.0,51.0
D590,F18-34,28,5,1.04,0.0,0.0,28.0
D700,F18-34,37,7,1.15,0.0,0.0,37.0
D588,F18-34,40,6,1.15,0.0,0.0,40.0
D701,M25-54,43,6,1.45,0.0,0.0,43.0
D594,M25-54,51,8,1.06,0.0,0.0,51.0
D695,P25-54,46,9,1.45,0.0,0.0,46.0
D596,F18-34,37,6,1.25,0.0,0.0,37.0
D598,F18-34,32,5,1.04,0.0,0.0,32.0
D703,P25-54,54,7,1.35,0.0,0.0,54.0
D694,F18-34,32,5,0.96,0.0,0.0,32.0
D599,P25-54,50,7,1.42,0.0,0.0,50.0
D692,F18-34,42,7,1.14,0.0,0.0,42.0
D600,M25-54,35,6,1.27,0.0,0.0,35.0
D601,F18-34,62,8,1.28,0.0,0.0,62.0
D602,M25-54,53,7,1.14,0.0,0.0,53.0
D996,F18-34,40,6,1.23,0.0,0.0,40.0
D984,M25-54,32,6,1.29,0.0,0.0,32.0
D604,F18-34,43,7,1.18,0.0,0.0,43.0
D690,M25-54,60,9,1.14,0.0,0.0,60.0
D606,F18-34,31,5,1.02,0.0,0.0,31.0
D702,F18-34,33,5,1.04,0.0,0.0,33.0
D704,M25-54,38,5,1.32,0.0,0.0,38.0
D586,M25-54,54,9,1.09,0.0,0.0,54.0
D689,F18-34,58,10,1.26,0.0,0.0,58.0
D719,P25-54,55,8,1.44,0.0,0.0,55.0
D572,F18-34,37,6,1.21,0.0,0.0,37.0
D718,F18-34,33,6,1.04,0.0,0.0,33.0
D574,F18-34,32,5,0.98,0.0,0.0,32.0
D999,P25-54,52,8,1.39,0.0,0.0,52.0
D716,F18-34,42,7,1.2,0.0,0.0,42.0
D575,P25-54,55,7,1.42,0.0,0.0,55.0
D576,M25-54,36,5,1.33,0.0,0.0,36.0
D714,M25-54,55,9,1.07,0.0,0.0,55.0
D713,F18-34,61,8,1.29,0.0,0.0,61.0
D712,M25-54,34,4,1.32,0.0,0.0,34.0
D577,F18-34,63,10,1.28,0.0,0.0,63.0
D578,M25-54,51,9,1.15,0.0,0.0,51.0
D580,F18-34,42,8,1.23,0.0,0.0,42.0
D711,P25-54,53,7,1.43,0.0,0.0,53.0
D710,F18-34,32,5,0.98,0.0,0.0,32.0
D709,M25-54,42,6,1.47,0.0,0.0,42.0
D998,F18-34,32,4,0.98,0.0,0.0,32.0
D581,M25-54,47,6,1.43,0.0,0.0,47.0
D582,F18-34,30,5,0.98,0.0,0.0,30.0
D583,P25-54,47,8,1.41,0.0,0.0,47.0
D708,F18-34,40,8,1.17,0.0,0.0,40.0
D584,M25-54,32,6,1.33,0.0,0.0,32.0
D982,F18-34,29,5,0.98,0.0,0.0,29.0
D706,M25-54,53,7,1.05,0.0,0.0,53.0
D705,F18-34,64,9,1.31,0.0,0.0,64.0
D585,F18-34,57,9,1.26,0.0,0.0,57.0
D607,P25-54,50,8,1.37,0.0,0.0,50.0
D608,M25-54,37,4,1.3,0.0,0.0,37.0
D688,M25-54,35,5,1.29,0.0,0.0,35.0
D663,P25-54,53,7,1.41,0.0,0.0,53.0
D631,P25-54,54,9,1.35,0.0,0.0,54.0
D670,F18-34,29,5,0.99,0.0,0.0,29.0
D632,M25-54,32,4,1.35,0.0,0.0,32.0
D633,F18-34,59,11,1.35,0.0,0.0,59.0
D668,F18-34,37,7,1.2,0.0,0.0,37.0
D634,M25-54,60,8,1.08,0.0,0.0,60.0
D636,F18-34,39,7,1.24,0.0,0.0,39.0
D666,M25-54,51,7,1.05,0.0,0.0,51.0
D638,F18-34,30,4,1.03,0.0,0.0,30.0
D639,P25-54,52,9,1.43,0.0,0.0,52.0
D665,F18-34,64,11,1.36,0.0,0.0,64.0
D640,M25-54,35,4,1.27,0.0,0.0,35.0
D664,M25-54,38,4,1.26,0.0,0.0,38.0
D662,F18-34,33,6,0.98,0.0,0.0,33.0
D992,M25-54,32,6,1.32,0.0,0.0,32.0
D641,F18-34,65,11,1.25,0.0,0.0,65.0
D642,M25-54,55,9,1.13,0.0,0.0,55.0
D644,F18-34,41,6,1.22,0.0,0.0,41.0
D660,F18-34,38,6,1.18,0.0,0.0,38.0
D647,P25-54,49,9,1.36,0.0,0.0,49.0
D648,M25-54,32,4,1.33,0.0,0.0,32.0
D990,F18-34,29,5,1.05,0.0,0.0,29.0
D988,F18-34,40,6,1.18,0.0,0.0,40.0
D658,M25-54,54,8,1.08,0.0,0.0,54.0
D657,F18-34,61,8,1.36,0.0,0.0,61.0
D649,F18-34,55,10,1.3,0.0,0.0,55.0
D656,M25-54,32,5,1.24,0.0,0.0,32.0
D650,M25-54,54,8,1.1,0.0,0.0,54.0
D630,F18-34,28,4,0.98,0.0,0.0,28.0
D628,F18-34,37,6,1.25,0.0,0.0,37.0
D652,F18-34,37,7,1.18,0.0,0.0,37.0
D993,F18-34,65,9,1.35,0.0,0.0,65.0
D609,F18-34,60,8,1.34,0.0,0.0,60.0
D686,F18-34,33,4,0.95,0.0,0.0,33.0
D610,M25-54,56,7,1.14,0.0,0.0,56.0
D994,M25-54,50,9,1.08,0.0,0.0,50.0
D612,F18-34,40,8,1.18,0.0,0.0,40.0
D684,F18-34,36,6,1.15,0.0,0.0,36.0
D614,F18-34,33,5,1.0,0.0,0.0,33.0
D615,P25-54,49,7,1.36,0.0,0.0,49.0
D682,M25-54,51,7,1.15,0.0,0.0,51.0
D616,M25-54,38,5,1.3,0.0,0.0,38.0
D681,F18-34,59,9,1.31,0.0,0.0,59.0
D617,F18-34,61,11,1.28,0.0,0.0,61.0
D618,M25-54,53,8,1.1,0.0,0.0,53.0
D680,M25-54,37,6,1.29,0.0,0.0,37.0
D672,M25-54,34,5,1.24,0.0,0.0,34.0
D679,P25-54,54,9,1.34,0.0,0.0,54.0
D620,F18-34,42,7,1.16,0.0,0.0,42.0
D678,F18-34,28,5,1.03,0.0,0.0,28.0
D622,F18-34,32,6,0.98,0.0,0.0,32.0
D623,P25-54,51,9,1.36,0.0,0.0,51.0
D624,M25-54,33,6,1.35,0.0,0.0,33.0
D676,F18-34,42,8,1.22,0.0,0.0,42.0
D625,F18-34,55,10,1.32,0.0,0.0,55.0
D985,F18-34,56,8,1.29,0.0,0.0,56.0
D674,M25-54,54,7,1.15,0.0,0.0,54.0
D673,F18-34,55,12,1.31,0.0,0.0,55.0
D986,M25-54,59,7,1.15,0.0,0.0,59.0
D626,M25-54,57,8,1.11,0.0,0.0,57.0
D646,F18-34,31,4,0.98,0.0,0.0,31.0
D951,P25-54,52,7,1.4,0.0,0.0,52.0
D720,M25-54,38,4,1.33,0.0,0.0,38.0
D864,M25-54,37,5,1.27,0.0,0.0,37.0
D866,M25-54,54,9,1.11,0.0,0.0,54.0
D868,F18-34,37,7,1.17,0.0,0.0,37.0
D870,F18-34,29,5,0.99,0.0,0.0,29.0
D872,M25-54,38,5,1.36,0.0,0.0,38.0
D873,F18-34,66,11,1.33,0.0,0.0,66.0
D874,M25-54,52,7,1.05,0.0,0.0,52.0
D876,F18-34,42,6,1.21,0.0,0.0,42.0
D962,M25-54,55,9,1.14,0.0,0.0,55.0
D878,F18-34,29,5,0.98,0.0,0.0,29.0
D879,P25-54,51,7,1.34,0.0,0.0,51.0
D880,M25-54,36,5,1.32,0.0,0.0,36.0
D881,F18-34,55,11,1.24,0.0,0.0,55.0
D882,M25-54,60,9,1.13,0.0,0.0,60.0
D961,F18-34,62,11,1.3,0.0,0.0,62.0
D884,F18-34,42,7,1.14,0.0,0.0,42.0
D886,F18-34,30,4,0.98,0.0,0.0,30.0
D888,M25-54,33,5,1.32,0.0,0.0,33.0
D889,F18-34,62,11,1.33,0.0,0.0,62.0
D890,M25-54,58,7,1.05,0.0,0.0,58.0
D960,M25-54,36,5,1.35,0.0,0.0,36.0
D892,F18-34,40,8,1.21,0.0,0.0,40.0
D865,F18-34,59,10,1.26,0.0,0.0,59.0
D863,P25-54,47,8,1.33,0.0,0.0,47.0
D721,F18-34,61,9,1.32,0.0,0.0,61.0
D862,F18-34,29,5,1.01,0.0,0.0,29.0
D837,M25-54,48,6,1.43,0.0,0.0,48.0
D838,F18-34,32,4,0.97,0.0,0.0,32.0
D839,P25-54,45,8,1.43,0.0,0.0,45.0
D840,M25-54,38,5,1.25,0.0,0.0,38.0
D841,F18-34,65,8,1.26,0.0,0.0,65.0
D842,M25-54,52,9,1.09,0.0,0.0,52.0
D844,F18-34,42,6,1.17,0.0,0.0,42.0
D846,F18-34,31,5,1.02,0.0,0.0,31.0
D847,P25-54,50,8,1.36,0.0,0.0,50.0
D848,M25-54,35,6,1.35,0.0,0.0,35.0
D849,F18-34,54,9,1.27,0.0,0.0,54.0
D850,M25-54,53,7,1.08,0.0,0.0,53.0
D966,F18-34,31,6,0.96,0.0,0.0,31.0
D852,F18-34,36,8,1.16,0.0,0.0,36.0
D854,F18-34,30,5,1.01,0.0,0.0,30.0
D855,P25-54,47,8,1.41,0.0,0.0,47.0
D856,M25-54,32,6,1.29,0.0,0.0,32.0
D857,F18-34,60,11,1.35,0.0,0.0,60.0
D858,M25-54,51,7,1.06,0.0,0.0,51.0
D964,F18-34,41,7,1.25,0.0,0.0,41.0
D860,F18-34,37,8,1.16,0.0,0.0,37.0
D894,F18-34,32,6,1.04,0.0,0.0,32.0
D895,P25-54,49,8,1.4,0.0,0.0,49.0
D896,M25-54,34,5,1.32,0.0,0.0,34.0
D897,F18-34,61,9,1.33,0.0,0.0,61.0
D928,M25-54,38,5,1.35,0.0,0.0,38.0
D929,F18-34,61,9,1.35,0.0,0.0,61.0
D930,M25-54,53,9,1.1,0.0,0.0,53.0
D932,F18-34,38,6,1.25,0.0,0.0,38.0
D934,F18-34,32,6,0.97,0.0,0.0,32.0
D956,F18-34,42,6,1.23,0.0,0.0,42.0
D935,P25-54,47,10,1.41,0.0,0.0,47.0
D936,M25-54,38,5,1.27,0.0,0.0,38.0
D937,F18-34,65,9,1.27,0.0,0.0,65.0
D938,M25-54,54,7,1.06,0.0,0.0,54.0
D954,M25-54,59,7,1.06,0.0,0.0,59.0
D940,F18-34,42,7,1.15,0.0,0.0,42.0
D953,F18-34,55,11,1.3,0.0,0.0,55.0
D942,F18-34,30,6,1.03,0.0,0.0,30.0
D943,P25-54,50,7,1.35,0.0,0.0,50.0
D944,M25-54,32,4,1.3,0.0,0.0,32.0
D945,F18-34,60,9,1.29,0.0,0.0,60.0
D946,M25-54,54,9,1.15,0.0,0.0,54.0
D952,M25-54,34,5,1.29,0.0,0.0,34.0
D948,F18-34,41,6,1.15,0.0,0.0,41.0
D950,F18-34,30,5,1.02,0.0,0.0,30.0
D927,P25-54,48,9,1.41,0.0,0.0,48.0
D926,F18-34,29,6,1.04,0.0,0.0,29.0
D924,F18-34,40,7,1.23,0.0,0.0,40.0
D908,F18-34,40,6,1.15,0.0,0.0,40.0
D898,M25-54,50,7,1.09,0.0,0.0,50.0
D959,P25-54,47,8,1.44,0.0,0.0,47.0
D900,F18-34,41,8,1.18,0.0,0.0,41.0
D901,M25-54,49,6,1.44,0.0,0.0,49.0
D902,F18-34,32,5,1.03,0.0,0.0,32.0
