ad_id,deal_id,length_sec,target_demo,advertiser,brand,category,piggyback_with,sandwich_with
Ad45,D747,30,F18-34,ADV1,Brand4,Cat3,,
Ad46,D675,30,F18-34,ADV2,Brand2,Cat2,,
Ad47,D579,30,M25-54,ADV2,Brand2,Cat5,,
Ad48,D491,30,P25-54,ADV3,Brand6,Cat5,,
Ad49,D571,30,F18-34,ADV5,Brand3,Cat1,,
Ad50,D667,30,M25-54,ADV4,Brand7,Cat1,,
Ad51,D043,30,P25-54,ADV5,Brand4,Cat4,,
Ad52,D995,30,M25-54,ADV1,Brand9,Cat1,,
Ad53,D091,30,P25-54,ADV1,Brand10,Cat3,,
Ad54,D563,30,M25-54,ADV1,Brand3,Cat5,,
Ad55,D131,30,F18-34,ADV3,Brand8,Cat2,,
Ad56,D787,30,P25-54,ADV1,Brand1,Cat2,,
Ad57,D371,30,M25-54,ADV4,Brand5,Cat2,,
Ad58,D251,30,M25-54,ADV5,Brand8,Cat2,,
Ad59,D939,30,F18-34,ADV4,Brand6,Cat5,,
Ad60,D243,30,P25-54,ADV2,Brand7,Cat2,,
Ad61,D147,30,F18-34,ADV4,Brand1,Cat4,,
Ad62,D467,30,F18-34,ADV5,Brand3,Cat4,,
Ad63,D643,30,P25-54,ADV4,Brand2,Cat4,,
Ad64,D107,30,P25-54,ADV1,Brand6,Cat3,,
Ad65,D3,30,P25-54,ADV1,Brand6,Cat3,,
Ad66,D843,30,P25-54,ADV5,Brand8,Cat1,,
Ad67,D955,30,F18-34,ADV3,Brand3,Cat1,,
Ad68,D651,30,F18-34,ADV5,Brand6,Cat2,,
Ad69,D267,30,P25-54,ADV1,Brand5,Cat2,,
Ad70,D699,30,M25-54,ADV4,Brand10,Cat3,,
Ad71,D315,30,F18-34,ADV2,Brand10,Cat5,,
Ad72,D195,30,P25-54,ADV3,Brand8,Cat3,,
Ad73,D411,30,P25-54,ADV5,Brand4,Cat3,,
Ad74,D203,30,F18-34,ADV1,Brand8,Cat1,,
Ad75,D779,30,F18-34,ADV3,Brand6,Cat4,,
Ad76,D395,30,P25-54,ADV3,Brand4,Cat3,,
Ad77,D875,30,M25-54,ADV5,Brand8,Cat4,,
Ad78,D139,30,P25-54,ADV2,Brand9,Cat5,,
Ad79,D235,30,M25-54,ADV5,Brand10,Cat2,,
Ad80,D211,30,M25-54,ADV5,Brand8,Cat2,,
Ad81,D019,30,P25-54,ADV3,Brand6,Cat5,,
Ad82,D915,30,P25-54,ADV4,Brand1,Cat1,,
Ad83,D923,30,M25-54,ADV4,Brand5,Cat4,,
Ad84,D187,30,M25-54,ADV4,Brand5,Cat3,,
Ad85,D539,30,P25-54,ADV4,Brand4,Cat5,,
Ad86,D067,30,F18-34,ADV3,Brand8,Cat3,,
Ad87,D379,30,P25-54,ADV5,Brand8,Cat5,,
Ad88,D179,30,P25-54,ADV4,Brand4,Cat2,,
Ad89,D669,30,P25-54,ADV3,Brand3,Cat2,,
Ad90,D437,30,M25-54,ADV1,Brand9,Cat4,,
Ad91,D061,30,P25-54,ADV5,Brand2,Cat1,,
Ad92,D685,30,P25-54,ADV3,Brand5,Cat3,,
Ad93,D683,30,F18-34,ADV5,Brand10,Cat5,,
Ad94,D501,30,M25-54,ADV5,Brand5,Cat3,,
Ad95,D547,30,P25-54,ADV1,Brand2,Cat1,,
Ad96,D389,30,P25-54,ADV2,Brand10,Cat4,,
Ad97,D541,30,P25-54,ADV4,Brand8,Cat2,,
Ad98,D835,30,P25-54,ADV4,Brand5,Cat5,,
Ad99,D765,30,M25-54,ADV1,Brand2,Cat4,,
Ad100,D629,30,M25-54,ADV4,Brand9,Cat3,,
Ad101,D459,30,F18-34,ADV3,Brand8,Cat1,,
Ad102,D979,30,P25-54,ADV3,Brand8,Cat3,,
Ad103,D741,30,F18-34,ADV3,Brand2,Cat3,,
Ad104,D011,30,F18-34,ADV1,Brand6,Cat5,,
Ad105,D739,30,F18-34,ADV4,Brand8,Cat2,,
Ad106,D587,30,F18-34,ADV3,Brand8,Cat5,,
Ad107,D275,30,P25-54,ADV1,Brand3,Cat3,,
Ad108,D189,30,F18-34,ADV4,Brand10,Cat3,,
Ad109,D963,30,M25-54,ADV4,Brand9,Cat2,,
Ad110,D445,30,P25-54,ADV4,Brand6,Cat4,,
Ad111,D171,30,P25-54,ADV2,Brand9,Cat1,,
Ad112,D461,30,P25-54,ADV4,Brand2,Cat3,,
Ad113,D323,30,F18-34,ADV5,Brand8,Cat2,,
Ad114,D149,30,M25-54,ADV4,Brand10,Cat2,,
Ad115,D515,30,M25-54,ADV4,Brand10,Cat2,,
Ad116,D283,30,F18-34,ADV2,Brand2,Cat4,,
Ad117,D917,30,F18-34,ADV1,Brand7,Cat5,,
Ad118,D853,30,P25-54,ADV5,Brand7,Cat3,,
Ad119,D099,30,P25-54,ADV3,Brand6,Cat3,,
Ad120,D115,30,F18-34,ADV4,Brand5,Cat4,,
Ad121,D035,30,F18-34,ADV2,Brand10,Cat4,,
Ad122,D893,30,P25-54,ADV4,Brand9,Cat4,,
Ad123,D861,30,P25-54,ADV1,Brand7,Cat1,,
Ad124,D595,30,F18-34,ADV4,Brand3,Cat3,,
Ad125,D813,30,F18-34,ADV4,Brand2,Cat5,,
Ad126,D349,30,P25-54,ADV2,Brand2,Cat3,,
Ad127,D677,30,M25-54,ADV2,Brand6,Cat3,,
Ad128,D155,30,P25-54,ADV2,Brand2,Cat1,,
Ad129,D795,30,M25-54,ADV3,Brand6,Cat5,,
Ad130,D451,30,P25-54,ADV4,Brand5,Cat1,,
Ad131,D829,30,F18-34,ADV2,Brand8,Cat1,,
Ad132,D277,30,M25-54,ADV4,Brand2,Cat5,,
Ad133,D731,30,M25-54,ADV2,Brand1,Cat1,,
Ad134,D213,30,P25-54,ADV1,Brand3,Cat4,,
Ad135,D123,30,F18-34,ADV5,Brand5,Cat5,,
Ad136,D781,30,F18-34,ADV3,Brand7,Cat1,,
Ad137,D805,30,P25-54,ADV4,Brand9,Cat1,,
Ad138,D597,30,M25-54,ADV5,Brand3,Cat4,,
Ad139,D693,30,M25-54,ADV1,Brand3,Cat2,,
Ad140,D269,30,M25-54,ADV1,Brand8,Cat5,,
Ad141,D483,30,P25-54,ADV2,Brand3,Cat4,,
Ad142,D125,30,F18-34,ADV4,Brand6,Cat5,,
Ad143,D827,30,P25-54,ADV3,Brand4,Cat3,,
Ad144,D517,30,F18-34,ADV4,Brand2,Cat5,,
Ad145,D419,30,M25-54,ADV4,Brand7,Cat5,,
Ad146,D877,30,F18-34,ADV4,Brand3,Cat4,,
Ad147,D069,30,M25-54,ADV1,Brand10,Cat4,,
Ad148,D381,30,P25-54,ADV3,Brand9,Cat1,,
Ad149,D317,30,F18-34,ADV1,Brand6,Cat4,,
Ad150,D493,30,P25-54,ADV5,Brand9,Cat1,,
Ad151,D755,30,M25-54,ADV5,Brand6,Cat4,,
Ad152,D523,30,P25-54,ADV2,Brand5,Cat4,,
Ad153,D475,30,F18-34,ADV4,Brand9,Cat3,,
Ad154,D387,30,M25-54,ADV2,Brand7,Cat2,,
Ad155,D533,30,P25-54,ADV2,Brand4,Cat3,,
Ad156,D259,30,F18-34,ADV5,Brand7,Cat5,,
Ad157,D229,30,F18-34,ADV2,Brand10,Cat1,,
Ad158,D589,30,P25-54,ADV1,Brand5,Cat1,,
Ad159,D027,30,F18-34,ADV2,Brand5,Cat2,,
Ad160,D077,30,M25-54,ADV2,Brand5,Cat2,,
Ad161,D627,30,M25-54,ADV2,Brand1,Cat2,,
Ad162,D309,30,M25-54,ADV5,Brand8,Cat1,,
Ad163,D427,30,P25-54,ADV4,Brand5,Cat2,,
Ad164,D773,30,P25-54,ADV3,Brand5,Cat5,,
Ad165,D715,30,M25-54,ADV4,Brand9,Cat1,,
Ad166,D341,30,M25-54,ADV5,Brand7,Cat3,,
Ad167,D789,30,M25-54,ADV3,Brand7,Cat4,,
Ad168,D291,30,F18-34,ADV1,Brand7,Cat1,,
Ad169,D819,30,M25-54,ADV1,Brand9,Cat4,,
Ad170,D085,30,F18-34,ADV5,Brand4,Cat3,,
Ad171,D965,30,M25-54,ADV1,Brand10,Cat2,,
Ad172,D949,30,M25-54,ADV4,Brand8,Cat5,,
Ad173,D173,30,P25-54,ADV3,Brand2,Cat3,,
Ad174,D021,30,F18-34,ADV3,Brand4,Cat2,,
Ad175,D413,30,M25-54,ADV2,Brand9,Cat2,,
Ad176,D605,30,M25-54,ADV5,Brand4,Cat1,,
Ad177,D973,30,P25-54,ADV2,Brand9,Cat2,,
Ad178,D261,30,M25-54,ADV2,Brand2,Cat5,,
Ad179,D909,30,P25-54,ADV3,Brand5,Cat3,,
Ad180,D869,30,F18-34,ADV5,Brand1,Cat4,,
Ad181,D757,30,M25-54,ADV4,Brand8,Cat4,,
Ad182,D133,30,M25-54,ADV2,Brand5,Cat4,,
Ad183,D933,30,P25-54,ADV5,Brand5,Cat3,,
Ad184,D621,30,F18-34,ADV3,Brand9,Cat3,,
Ad185,D5,30,F18-34,ADV5,Brand7,Cat2,,
Ad186,D957,30,M25-54,ADV4,Brand10,Cat2,,
Ad187,D733,30,F18-34,ADV1,Brand1,Cat2,,
Ad188,D717,30,F18-34,ADV4,Brand3,Cat1,,
Ad189,D885,30,P25-54,ADV2,Brand10,Cat1,,
Ad190,D573,30,M25-54,ADV1,Brand7,Cat1,,
Ad191,D989,30,M25-54,ADV1,Brand2,Cat3,,
Ad192,D565,30,P25-54,ADV5,Brand3,Cat2,,
Ad193,D053,30,P25-54,ADV4,Brand4,Cat3,,
Ad194,D205,30,F18-34,ADV4,Brand6,Cat4,,
Ad195,D037,30,P25-54,ADV5,Brand3,Cat4,,
Ad196,D477,30,M25-54,ADV5,Brand3,Cat1,,
Ad197,D045,30,P25-54,ADV3,Brand9,Cat4,,
Ad198,D301,30,M25-54,ADV1,Brand2,Cat4,,
Ad199,D141,30,M25-54,ADV5,Brand2,Cat5,,
Ad200,D525,30,P25-54,ADV4,Brand8,Cat3,,
Ad201,D373,30,M25-54,ADV3,Brand5,Cat5,,
Ad202,D221,30,F18-34,ADV2,Brand9,Cat4,,
Ad203,D181,30,F18-34,ADV1,Brand5,Cat2,,
Ad204,D725,30,M25-54,ADV3,Brand7,Cat4,,
Ad205,D821,30,P25-54,ADV3,Brand5,Cat3,,
Ad206,D997,30,P25-54,ADV4,Brand1,Cat5,,
Ad207,D557,30,P25-54,ADV3,Brand2,Cat4,,
Ad208,D845,30,P25-54,ADV5,Brand1,Cat5,,
Ad209,D469,30,F18-34,ADV1,Brand1,Cat4,,
Ad210,D357,30,M25-54,ADV5,Brand2,Cat2,,
Ad211,D197,30,P25-54,ADV5,Brand9,Cat5,,
Ad212,D453,30,M25-54,ADV2,Brand9,Cat2,,
Ad213,D143,30,P25-54,ADV4,Brand8,Cat5,,
Ad214,D549,30,M25-54,ADV4,Brand4,Cat5,,
Ad215,D375,30,M25-54,ADV4,Brand6,Cat2,,
Ad216,D013,30,P25-54,ADV2,Brand1,Cat5,,
Ad217,D887,30,F18-34,ADV3,Brand7,Cat5,,
Ad218,D095,30,M25-54,ADV3,Brand5,Cat3,,
Ad219,D245,30,P25-54,ADV4,Brand9,Cat3,,
Ad220,D175,30,P25-54,ADV3,Brand9,Cat3,,
Ad221,D293,30,P25-54,ADV3,Brand3,Cat1,,
Ad222,D183,30,F18-34,ADV3,Brand10,Cat1,,
Ad223,D637,30,F18-34,ADV3,Brand7,Cat1,,
Ad224,D653,30,P25-54,ADV2,Brand2,Cat1,,
Ad225,D405,30,P25-54,ADV3,Brand8,Cat3,,
Ad226,D613,30,F18-34,ADV3,Brand8,Cat3,,
Ad227,D797,30,F18-34,ADV1,Brand2,Cat1,,
Ad228,D429,30,M25-54,ADV4,Brand9,Cat4,,
Ad229,D671,30,P25-54,ADV4,Brand6,Cat2,,
Ad230,D661,30,F18-34,ADV2,Brand8,Cat5,,
Ad231,D709,30,M25-54,ADV1,Brand4,Cat2,,
Ad232,D285,30,M25-54,ADV5,Brand4,Cat3,,
Ad233,D421,30,P25-54,ADV5,Brand6,Cat5,,
Ad234,D325,30,P25-54,ADV5,Brand10,Cat4,,
Ad235,D253,30,P25-54,ADV1,Brand3,Cat2,,
Ad236,D333,30,P25-54,ADV3,Brand1,Cat4,,
Ad237,D509,30,F18-34,ADV5,Brand1,Cat5,,
Ad238,D903,30,M25-54,ADV1,Brand9,Cat2,,
Ad239,D749,30,P25-54,ADV4,Brand5,Cat5,,
Ad240,D991,30,M25-54,ADV3,Brand7,Cat5,,
Ad241,D103,30,M25-54,ADV4,Brand9,Cat1,,
Ad242,D687,30,F18-34,ADV1,Brand5,Cat3,,
Ad243,D645,30,F18-34,ADV3,Brand5,Cat4,,
Ad244,D871,30,F18-34,ADV5,Brand10,Cat5,,
Ad245,D071,30,F18-34,ADV4,Brand6,Cat3,,
Ad246,D655,30,M25-54,ADV3,Brand10,Cat2,,
Ad247,D237,30,F18-34,ADV4,Brand2,Cat2,,
Ad248,D925,30,F18-34,ADV4,Brand1,Cat1,,
Ad249,D941,30,M25-54,ADV4,Brand7,Cat1,,
Ad250,D031,30,F18-34,ADV2,Brand5,Cat1,,
